name,Assist/Turnover Ratio,Assists Per Game,Bench Points per game,Blocks Per Game,Effective FG pct,Fastbreak Points,Field Goal Percentage,Field Goal Percentage Defense,Fouls Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Free Throws Made Per Game,Rebound Margin,Rebounds (Defensive) Per Game,Rebounds (Offensive) Per Game,Rebounds Per Game,Scoring Defense,Scoring Margin,Scoring Offense,Steals Per Game,Three Point Attempts Per Game,Three Point Percentage,Three Point Percentage Defense,Three Pointers Per Game,Turnover Margin,Turnovers Forced Per Game,Turnovers Per Game,Winning Percentage
UIW,.76,12.2,24.13,4.1,.494,10.74,72.67,44.949,8,20.8,72.67,15.1,1,25.81,10.74,36.55,78.6,-6,72.3,6.0,23.0,33.15,35.7,7.6,-4.8,11.16,16.0,25.8
Houston Christian,.74,11.4,13.97,2.8,.475,7.59,64.41,47.415,11,21.9,64.41,14.1,-1,25.17,11.93,37.10,83.4,-11,71.5,5.6,16.8,30.12,34.0,5.1,-5.0,10.34,15.3,20.7
Grambling,.73,9.8,22.06,3.1,.490,10.51,70.81,43.520,9,21.1,70.81,15.0,0,22.69,9.74,32.43,69.4,-1,68.2,7.4,15.3,34.02,34.3,5.2,-0.5,12.89,13.3,60.0
Cal St. Fullerton,.72,8.9,23.62,3.1,.491,9.84,70.80,43.184,7,21.4,70.80,15.2,-2,24.34,8.41,32.75,69.1,-1,67.9,6.7,19.6,33.01,31.7,6.5,.3,12.56,12.3,43.8
Middle Tenn.,.71,10.0,14.70,4.2,.467,7.09,70.36,43.907,13,19.1,70.36,13.5,-1,24.33,10.42,34.76,70.3,-4,65.7,5.3,23.5,31.14,32.9,7.3,-2.9,11.12,14.0,42.4
IUPUI,.71,10.4,23.25,2.1,.469,9.75,73.56,50.711,8,19.0,73.56,14.0,-3,19.62,9.88,29.50,79.8,-13,65.9,7.6,13.9,24.77,37.7,3.4,-1.1,13.50,14.6,18.8
Siena,.68,10.7,14.19,4.1,.447,4.69,66.73,45.786,5,16.9,66.73,11.3,1,23.66,11.72,35.38,74.4,-14,60.4,5.1,18.8,28.03,35.2,5.3,-5.8,9.94,15.8,12.5
VMI,.66,10.5,20.41,2.6,.477,9.78,69.25,46.319,15,16.2,69.25,11.2,-2,27.22,9.34,36.56,82.6,-13,68.9,5.6,21.0,31.20,35.7,6.6,-4.1,11.72,15.8,12.5
Alabama A&M,.64,10.4,30.35,3.9,.458,12.97,71.99,42.438,12,26.1,71.99,18.8,0,24.47,11.32,35.79,75.6,-6,69.1,7.6,14.6,28.17,35.0,4.1,-1.9,14.26,16.2,35.3
Mississippi Val.,.55,8.7,12.06,2.3,.425,7.03,65.79,48.802,11,17.2,65.79,11.3,-6,19.77,9.61,29.39,77.7,-22,55.5,6.6,15.8,29.24,37.0,4.6,-4.5,11.42,16.0,3.2
Coppin St.,.53,8.3,21.79,2.8,.421,8.86,72.60,44.823,11,16.9,72.60,12.2,-9,20.34,9.76,30.10,72.8,-14,57.9,7.7,18.6,28.33,34.5,5.3,-0.8,14.86,15.7,6.9
